FirstStructure__c;CreatedYear__c;CreatedDate__c;Type;Case_Theme_Area__c;Case_Topic_Service__c;Origin;Case_Alert_Police_Warning__c;Municipality_Category__c
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;RUMORI MOLESTI;CDC;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;ALTRI SERVIZI OPERE E MANUTENZIONE;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;15
MUNICIPIO IX;2026;01/01/2026;Segnalazione;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE;Email To Case;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
MUNICIPIO IX;2026;01/01/2026;Segnalazione;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE;Email To Case;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;8
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;8
AMA;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
MUNICIPIO III;2026;01/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;3
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;12
DIPARTIMENTO TUTELA AMBIENTALE;2026;01/01/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;CDC;false;9
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;Call Center;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
DIPARTIMENTO MOBILITA’ SOSTENIBILE E TRASPORTI;2026;01/01/2026;Segnalazione;MOBILITA E TRASPORTI;VIABILITA STRADALE;CDC;false;8
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;7
MUNICIPIO II;2026;01/01/2026;Segnalazione;AMBIENTE;RAMI PERICOLANTI E POTATURE ALBERI;Email To Case;false;2
BACK OFFICE ROMA CAPITALE;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email Portale 060606;false;3
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;11
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;12
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;MOBILITA E TRASPORTI;MEZZI DI TRASPORTO, STRUTTURE E IMPIANTI;Call Center;false;
GABINETTO DEL SINDACO;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;13
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;Reclamo;MOBILITA E TRASPORTI;FREQUENZA E ORARI;Call Center;false;
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;MOBILITA E TRASPORTI;COMPORTAMENTO DEL PERSONALE;Call Center;false;
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;15
AMA;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;5
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;1
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;2
MUNICIPIO V;2026;01/01/2026;Segnalazione;MOBILITA E TRASPORTI;ALTRI SERVIZI MOBILITA E TRASPORTI;Email To Case;false;
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
MUNICIPIO IV;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;4
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;2
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;3
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;1
CHIAMAROMA 060606;2026;01/01/2026;Reclamo;MOBILITA E TRASPORTI;MEZZI DI TRASPORTO, STRUTTURE E IMPIANTI;Call Center;false;1
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;COMMERCIO E IMPRESA;ANTIABUSIVISMO COMMERCIALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;COMMERCIO E IMPRESA;ANTIABUSIVISMO COMMERCIALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;COMMERCIO E IMPRESA;ANTIABUSIVISMO COMMERCIALE;CDC;false;5
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;11
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
;2026;01/01/2026;Segnalazione;MOBILITA E TRASPORTI;ALTRI SERVIZI MOBILITA E TRASPORTI;TVA;false;
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;9
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/01/2026;Reclamo;MOBILITA E TRASPORTI;COMPORTAMENTO DEL PERSONALE;Call Center;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;12
MUNICIPIO II;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;Email To Case;false;2
MUNICIPIO II;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;2
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;2
AMA;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;7
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;AMBIENTE;ANIMALI;Call Center;false;14
CHIAMAROMA 060606;2026;01/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;MOBILITA E TRASPORTI;COMPORTAMENTO DEL PERSONALE;Call Center;false;
CHIAMAROMA 060606;2026;01/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;2
MUNICIPIO I;2026;02/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;URP;false;1
MUNICIPIO I;2026;02/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;URP;false;1
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;12
AMA;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;9
CHIAMAROMA 060606;2026;02/01/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;Call Center;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;02/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;2
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;15
CHIAMAROMA 060606;2026;02/01/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;9
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;15
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;02/01/2026;Reclamo;TRIBUTI E CONTRAVVENZIONI;ALTRI SERVIZI AEQUAROMA;Call Center;false;
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
MUNICIPIO X;2026;02/01/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;Email To Case;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
POLIZIA LOCALE (5° Gruppo PRENESTINO);2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;5
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;12
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;4
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
MUNICIPIO X;2026;02/01/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;Email To Case;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;11
CHIAMAROMA 060606;2026;02/01/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;5
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
AMA;2026;02/01/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;6
